samplerate,acc_gx,acc_gy,acc_gz,gyro_pdsx,gyro_dpsy,gyro_dpsz
50,-0.8918457,-0.1777344,0.2509766,-2.015267,2.961832,-0.4732825
50,-0.8912354,-0.177002,0.2509766,-2.259542,3.312977,-0.2137405
50,-0.8879395,-0.1781006,0.2196045,-2.427481,3.145038,-0.01526718
50,-0.885498,-0.1804199,0.2196045,-2.412214,2.931298,-0.4732825
50,-0.8861084,-0.182251,0.2196045,-2.198473,2.732824,-0.7328244
50,-0.8861084,-0.1820068,0.2196045,-1.770992,2.580153,-0.7633588
50,-0.8848877,-0.1778564,0.2196045,-0.7480916,2.580153,-0.610687
50,-0.8835449,-0.1779785,0.2196045,-0.4427481,2.59542,-0.1679389
50,-0.8879395,-0.1774902,0.2196045,0.1984733,3.374046,0.5648855
50,-0.8902588,-0.1776123,0.2509766,0.7938932,3.587786,1.114504
50,-0.894165,-0.1737061,0.2509766,1.984733,3.877863,1.847328
50,-0.8936768,-0.1705322,0.2196045,2.946565,3.664122,2.610687
50,-0.8919678,-0.1643066,0.2196045,4,3.770992,3.419847
50,-0.8922119,-0.1602783,0.2196045,4.473282,4.21374,3.877863
50,-0.892334,-0.1544189,0.2196045,5.29771,4.732824,4.48855
50,-0.8931885,-0.1494141,0.2196045,6.015267,5.038168,4.870229
50,-0.8942871,-0.1428223,0.2196045,6.931298,5.068702,5.175572
50,-0.8935547,-0.1390381,0.2196045,7.312977,4.992366,5.038168
50,-0.8969727,-0.1339111,0.2196045,7.465649,5.343512,4.412214
50,-0.9012451,-0.1304932,0.2196045,7.572519,5.51145,4
50,-0.9039307,-0.1256104,0.2196045,7.770992,5.480916,3.587786
50,-0.9078369,-0.1231689,0.2196045,7.725191,5.633588,3.389313
50,-0.9106445,-0.1212158,0.2196045,7.587786,5.343512,3.007634
50,-0.9121094,-0.1220703,0.2196045,7.572519,4.870229,2.671756
50,-0.9110107,-0.123291,0.2196045,7.648855,3.648855,1.603053
50,-0.9080811,-0.1239014,0.2196045,7.725191,2.687023,0.6412213
50,-0.9058838,-0.1241455,0.2196045,7.603054,1.694656,-0.7938932
50,-0.9039307,-0.1251221,0.2196045,7.343512,1.206107,-1.618321
50,-0.9007568,-0.1246338,0.2509766,7.160306,0.6412213,-2.458015
50,-0.8996582,-0.1242676,0.2509766,7.129771,0.519084,-2.732824
50,-0.9025879,-0.12146,0.2509766,7.022901,0.8244275,-2.732824
50,-0.8968506,-0.1186523,0.2509766,6.564886,0.3816794,-2.167939
50,-0.8887939,-0.1186523,0.2509766,5.480916,-0.3206107,-2.229008
50,-0.8927002,-0.1263428,0.2509766,4.366412,-0.03053435,-3.068702
50,-0.8951416,-0.1297607,0.2823486,3.007634,-0.7175573,-3.496183
50,-0.90979,-0.1411133,0.2823486,1.160305,-0.2748092,-4.122138
50,-0.9108887,-0.1405029,0.2823486,0.5496183,-1.129771,-3.374046
50,-0.8778076,-0.1308594,0.2823486,0,-2.717557,-2.167939
50,-0.8480225,-0.1291504,0.2823486,-2.503817,-4.427481,-2.244275
50,-0.840332,-0.1538086,0.3137207,-6,-4.687023,-4.503817
50,-0.8474121,-0.1779785,0.3450928,-6.198473,-6.80916,-5.89313
50,-0.8505859,-0.2036133,0.3764648,-3.40458,-11.54198,-7.51145
50,-0.8496094,-0.2126465,0.3764648,-0.2137405,-14.58015,-8.137404
50,-0.8377686,-0.2139893,0.4078369,4.396946,-18.12214,-8.427481
50,-0.8311768,-0.2122803,0.4078369,7.19084,-18.67175,-8.564885
50,-0.8165283,-0.2061768,0.4078369,11.26718,-17.54198,-7.725191
50,-0.809082,-0.2032471,0.4078369,13.32824,-15.0229,-7.099236
50,-0.8083496,-0.2080078,0.4078369,16.99237,-9.435115,-5.221374
50,-0.8116455,-0.2115479,0.4078369,20.25954,-5.08397,-3.770992
50,-0.7974854,-0.1972656,0.3764648,27.29771,0.8244275,-1.206107
50,-0.7830811,-0.1784668,0.3450928,30.51908,5.679389,-0.2442748
50,-0.7811279,-0.1588135,0.3137207,31.20611,13.93893,-0.1526718
50,-0.7878418,-0.1535645,0.2823486,30.16794,18.70229,-0.7480916
50,-0.7923584,-0.1508789,0.2823486,27.32825,22.56489,-2.183206
50,-0.7954102,-0.1540527,0.2509766,25.23664,23.92366,-3.954198
50,-0.8039551,-0.1586914,0.2509766,23.29771,23.43511,-6.671756
50,-0.8007813,-0.1582031,0.2509766,21.9084,22.16794,-8.625955
50,-0.7919922,-0.1583252,0.2196045,18.64122,21.48092,-11.75572
50,-0.788208,-0.1619873,0.1882324,16.06107,21.54198,-13.25191
50,-0.8035889,-0.1887207,0.2196045,12.74809,22.64122,-15.26718
50,-0.8183594,-0.204834,0.2196045,13.92366,21.83206,-15.72519
50,-0.8526611,-0.2246094,0.2196045,15.92366,22.01527,-17.34351
50,-0.90271,-0.2403564,0.2196045,16.73282,23.31298,-18.0916
50,-0.9766846,-0.2521973,0.2196045,17.66412,23.63359,-16.77863
50,-1.010254,-0.2602539,0.2196045,16.24427,23.29771,-14.91603
50,-1.0896,-0.2956543,0.2196045,13.05344,25.63359,-11.67939
50,-1.134766,-0.322876,0.2509766,13.41985,25.58779,-7.877862
50,-1.165405,-0.3461914,0.2509766,15.23664,24.18321,-2.351145
50,-1.157471,-0.3480225,0.2196045,16.48855,22.32061,0.5954198
50,-1.109741,-0.3387451,0.2196045,16.77863,18.9771,1.679389
50,-1.062988,-0.3209229,0.2196045,16.90076,16.01527,0.6259542
50,-0.9785156,-0.2875977,0.1882324,16.07634,11.03817,-1.770992
50,-0.9173584,-0.2635498,0.1568604,15.16031,7.389313,-3.099237
50,-0.8186035,-0.2305908,0.1568604,13.22137,1.816794,-4.229008
50,-0.7567139,-0.215332,0.1568604,11.52672,-1.633588,-5.114504
50,-0.6726074,-0.1970215,0.1254883,9.343512,-6.671756,-6.763359
50,-0.5626221,-0.1713867,0.1254883,5.374046,-13.37405,-11.20611
50,-0.5437012,-0.1750488,0.1254883,2.381679,-14.9771,-14
50,-0.5532227,-0.1936035,0.1568604,-0.7480916,-17.0687,-18.61069
50,-0.5686035,-0.2077637,0.1568604,-1.709924,-19.1145,-21.54198
